Nazwa;telefon;Adres;Rodzaj;Dzielnica;Okolica;Na wynos;Ocena;Rodzaje kuchni;Okazja;Specjalne Dania;Specjalne Menu;Udogodnienia osobiste;Alkohol;Rozrywka;Dodatki;0
Pañstwomiasto;22 400 94 64;Andersa 29;Kawiarnia;Œródmieœcie;Muranów;Dostêpna opcja na wynos;5;Miêdzynarodowa;Œniadanie;Przyjazne wegetarianom;Menu lunchowe;Przyjazne dzieciom,Przyjazne zwierzêtom;Pe³ny bar;Muzyka na ¿ywo, Gry Planszowe;Ogródek,Wifi;0
Veg Deli;22 307 33 21;Radna 14;Restauracja;Œródmieœcie;Powiœle;Dostêpna opcja na wynos;4;;;Bezglutenu,Przyjazne wegetarianom;Opcje wegañskie;Przyjazne dzieciom,Przyjazne zwierzêtom;Wino i Piwo;;Ogródek,Wifi;0
Autorskie Bistro & Cafe;48531510460;Œw. Wincentego 95/3;Restauracja;Targówek;Bródno;Dostêpna opcja na wynos;3;Miêdzynarodowa;Œniadanie;Bezglutenu;Menu lunchowe;Przyjazne dzieciom,Przyjazne zwierzêtom;Pe³ny bar;Sport;Wifi;0
Karczma Ba³kañska Dusza;788044444;Kana³owa 6;Restauracja;Targówek;Zacisze;;4;Ba³kañska,Chorwacka;Spotkanie grupowe;;Menu lunchowe;;;;Ogródek;0
Buri Sushi;48505195701;Borzymowska 43F;Restauracja;Targówek;Targówek Mieszkaniowy;Dostawa do domu,Dostêpna opcja na wynos;4;Japoñska;;;Opcje wegañskie;Przyjazne dzieciom,Przyjazne zwierzêtom,Dla niepe³nosprawnych;;;;0
Trattoria Murano;48 516 754 300;Pokorna 2 lok U26;Restauracja;Œródmieœcie;Muranów;Dostêpna opcja na wynos;3;W³oska;Lunch;;Menu lunchowe;Przyjazne dzieciom,Przyjazne zwierzêtom;Pe³ny bar;Sport;Ogródek,Wifi;0
Falafel Bejrut;48 501 512 965;Nowolipki 15;Szybkie jedzenie;Œródmieœcie;Muranów;Dostêpna opcja na wynos;4;Arabska,Libañska;Spotkanie z przyjació³mi;;;;;;;0
Stó³;48 664 151 032;Nowolipki 17C;Kawiarnia;Œródmieœcie;Muranów;;5;Miêdzynarodowa;Œniadanie;Desery i wypieki;;Przyjazne dzieciom,Przyjazne zwierzêtom, Dla niepe³nosprawnych;Alkohol;Gry Planszowe;;0
Ba Adriatico;48 690 498 310;Aleja Jana Paw³a II 50/52;Restauracja;Œródmieœcie;Muranów;Dostêpna opcja na wynos;3;Ba³kañska;Lunch;;Menu lunchowe;;Pe³ny bar;Muzyka na ¿ywo;Ogródek,Wifi;0
Sapaya;22 635 01 83;Aleja Jana Paw³a II 52/54;Restauracja;Œródmieœcie;Muranów;Dostawa do domu,Dostêpna opcja na wynos;4;Azjatycka,Wietnamska;;Przyjazne wegetarianom;;Przyjazne dzieciom,Dla niepe³nosprawnych;Wino i Piwo;;Ogródek,Wifi;0
S³odkie S³ony;22 622 49 34;Mokotowska 45;Cukiernia;Œródmieœcie;Œródmieœcie Po³udniowe;Dostêpna opcja na wynos;4;Polsaka;;Desery i wypieki;;Przyjazne zwierzêtom;Pe³ny bar;;Wifi;0
Batida;48 662 214 313;Marsza³kowska 53;Cukiernia;Œródmieœcie;Œródmieœcie Po³udniowe;Dostawa do domu,Dostêpna opcja na wynos;4;Polska;Œniadanie;Bezglutenu,Przyjazne wegetarianom,Desery i wypieki;;Przyjazne dzieciom,Przyjazne zwierzêtom;Pe³ny bar;;Wifi;0
Krajen Rum Bar;;Poznañska 12,;Bar;Œródmieœcie;Œródmieœcie Po³udniowe;;4;Œródziemnomorska;;;;Przyjazne zwierzêtom;Pe³ny bar;Muzyka na ¿ywo;Wifi;0
Momu;48 506 100 001;Wierzbowa 9/11;Bar;Œródmieœcie;Œródmieœcie Pó³nocne;Dostawa do domu,Dostêpna opcja na wynos;4;Azjatycka,Tajska,Japoñska;Lunch;;Menu lunchowe;Przyjazne dzieciom,Przyjazne zwierzêtom, Dla pal¹cych;Pe³ny bar;Muzyka na ¿ywo, Gry Planszowe;Wifi;0
The Alchemist Gastropub;22 307 23 07;Plac Pi³sudskiego 3;Bar;Œródmieœcie;Œródmieœcie Pó³nocne;Dostêpna opcja na wynos;5;Miêdzynarodowa;Œniadanie;Bezglutenu;;Przyjazne dzieciom,Przyjazne zwierzêtom;Pe³ny bar;Gry Planszowe;Ogródek;0
